framework,scenario,groundedness_score,ragas_faithfulness,judge_accuracy,composite_halluc_pct,avg_latency
LangGraph,lesson_plan,1.0,0.964,5.0,34.5,114.37
LangGraph,quiz,1.0,0.115,5.0,62.8,22.59
LangGraph,email,1.0,0.11,5.0,63.0,7.21
Google ADK,lesson_plan,1.0,0.705,5.0,43.2,57.36
Google ADK,quiz,1.0,0.037,5.0,65.4,31.19
Google ADK,email,1.0,0.0,5.0,66.7,11.74
